APPCH:040,T,T03, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0280,    ,+,01970,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T03, ,BUE,ET,D, ,VE  , ,   ,FM, ,BUE,ET,D, ,      ,0000,0000,0540,    , ,04000,     ,     ,-,250,    ,   , , , , , ,0,D,S;
APPCH:010,A,T21,BUGAL,BUGAL,ET,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL120,FL070,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,T21,BUGAL, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2340,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,T21,BUGAL,D032R,ET,P,C,EY  ,L,   ,AF, ,BUE,ET,D, ,      ,0320,0180,0540,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,T21,BUGAL,CT21,ET,P,C,EE  , ,   ,CF, ,BUE,ET,D, ,      ,0230,0100,2030,0080, ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,T,T21, ,CT21,ET,P,C,E  I, ,   ,IF, ,BUE,ET,D, ,      ,0230,0100,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,T,T21, ,FT21,ET,P,C,E  F, ,   ,CF, ,BUE,ET,D, ,      ,0230,0047,2030,0053,+,03000,     ,     , ,   ,    ,   ,BUE,ET,D, , ,0,D,S;
APPCH:025,T,T21, ,22TAC,ET,P,C,E S , ,   ,CF, ,BUE,ET,D, ,      ,0230,0022,2030,0025,+,02210,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:030,T,T21, ,MT21,ET,P,C,E  M, ,   ,CF, ,BUE,ET,D, ,      ,0230,0010,2030,0012, ,01836,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,T,T21, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2030,    ,+,01970,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,T,T21, ,BUE,ET,D, ,VE  ,L,   ,FM,Y,BUE,ET,D, ,      ,0000,0000,0540,    , ,04000,     ,     ,-,250,    ,   , , , , , ,0,D,S;
RWY:RW03 ,     ,      ,01546, ,    , ,   ;N50095046,E007031717,0000;
RWY:RW21 ,     ,      ,01565, ,    , ,   ;N50110130,E007041905,0000;
